devicename,platform
V5 (1601),ANDROID
Blade L3,ANDROID
Galaxy S4 Active,ANDROID
P10 Plus,ANDROID
Moto Z2 Play,ANDROID
Nubia M2,ANDROID
Galaxy A5 Duos,ANDROID
Galaxy On5 LTE,ANDROID
Zenfone Go 4.5 Plus,ANDROID
Ascend Y625,ANDROID
ME Tablet Y2,ANDROID
Ascend G730,ANDROID
Redmi 2,ANDROID
Y5 (2017),ANDROID
Eee Pad Transformer,ANDROID
X3,ANDROID
R7s,ANDROID
R1x,ANDROID
ZenFone 3,ANDROID
Xperia XA1 Plus,ANDROID
Galaxy Trend,ANDROID
Y51L,ANDROID
Note Max,ANDROID
Blade Q Lux,ANDROID
Vibe P1m,ANDROID
Shark 1,ANDROID
Galaxy Tab 3 10.1 LTE,ANDROID
Moto G5 Plus,ANDROID
3006,ANDROID
L701 TV,ANDROID
Galaxy K Zoom,ANDROID
S856,ANDROID
Blade S7,ANDROID
Desire 816,ANDROID
Xperia E4g,ANDROID
Xperia XZ1,ANDROID
iPhone 5S,IOS
Galaxy Tab S LTE,ANDROID
R8,ANDROID
Galaxy A9,ANDROID
Desire 530,ANDROID
Ascend Alek,ANDROID
ZenPad C7.0,ANDROID
X1 Lite,ANDROID
Galaxy Fame,ANDROID
Galaxy Grand 2 LTE,ANDROID
Blade A2 Plus,ANDROID
Galaxy Note FE,ANDROID
Xperia XZs,ANDROID
Redmi 5 Plus,ANDROID
K6 Note,ANDROID
Galaxy S5,ANDROID
MediaPad T1 7.0,ANDROID
N4,ANDROID
Galaxy Tab S3 (9.7),ANDROID
X3S,ANDROID
Max 2,ANDROID
Liquid X1,ANDROID
Xperia Neo,ANDROID
Nexus 6,ANDROID
V10,ANDROID
Honor 6,ANDROID
Desire 820s,ANDROID
Xperia XZ,ANDROID
Agora 4g Plus,ANDROID
Galaxy Note 3 LTE-A,ANDROID
OnePlus X,ANDROID
S850,ANDROID
Pixi 4 (5),ANDROID
Passion,ANDROID
X500,ANDROID
X6,ANDROID
Q705U,ANDROID
M3 Lite 10,ANDROID
Ascend P7,ANDROID
One M8 Eye,ANDROID
Desire 626,ANDROID
Desire 626 Dual Sim,ANDROID
V7+,ANDROID
A606,ANDROID
Hot 4 Pro,ANDROID
X5S,ANDROID
MediaPad M2 8.0,ANDROID
K6000,ANDROID
Liquid Z160,ANDROID
N3,ANDROID
Y15S,ANDROID
Galaxy J3 (2017),ANDROID
One Touch Pop 2 4.5,ANDROID
Redmi 3X,ANDROID
S660,ANDROID
Magnum X604,ANDROID
DuraForce Pro,ANDROID
G Flex 2,ANDROID
Galaxy Pocket Neo,ANDROID
Galaxy Tab A (2017),ANDROID
Honor 3C 4G,ANDROID
Galaxy J5 Prime Duos,ANDROID
N1 Mini,ANDROID
DROID RAZR M,ANDROID
Galaxy Express 2,ANDROID
Pro 6 Plus,ANDROID
A42,ANDROID
G3,ANDROID
Desire 620G,ANDROID
One Touch Pop C5,ANDROID
G Flex,ANDROID
Captivate,ANDROID
Zenfone 3 Deluxe,ANDROID
Galaxy Note LTE 10.1,ANDROID
Ascend G6,ANDROID
Maimang 5,ANDROID
A850+,ANDROID
Wind 7,ANDROID
Y7 Prime,ANDROID
Light Tablet,ANDROID
Le 2 Pro,ANDROID
Galaxy Mega 2,ANDROID
Y27,ANDROID
Mate S,ANDROID
Honor 3X,ANDROID
Iconia Talk S,ANDROID
Galaxy On5,ANDROID
One A9,ANDROID
Galaxy Note 8,ANDROID
Sisley,ANDROID
One XL,ANDROID
Porto S,ANDROID
Zenfone 5,ANDROID
Blad A711,ANDROID
V8,ANDROID
A59s,ANDROID
Y6 II,ANDROID
X9,ANDROID
Liquid E700,ANDROID
Aqua Y2 1GB,ANDROID
Y22,ANDROID
Vibe X2,ANDROID
Vibe K6,ANDROID
Galaxy A7 (2017),ANDROID
Y5,ANDROID
One Touch Flash Plus,ANDROID
S5E 4GS,ANDROID
Xperia E4 Dual,ANDROID
A10-70,ANDROID
Galaxy Tab 3,ANDROID
ShotX,ANDROID
Galaxy S3 mini,ANDROID
M3 Note,ANDROID
Galaxy Camera,ANDROID
Optimus LTE 2,ANDROID
iPhone 5,IOS
Kissme,ANDROID
Xperia C3,ANDROID
Xperia S,ANDROID
Noir A50,ANDROID
One M9 Plus,ANDROID
Galaxy Tab Active,ANDROID
A1000,ANDROID
UltraTab,ANDROID
A39,ANDROID
Galaxy C9 Pro,ANDROID
Xperia M4 Aqua,ANDROID
Q1 Pro,ANDROID
GX8,ANDROID
Desire Eye,ANDROID
Nova,ANDROID
Xperia P,ANDROID
V1,ANDROID
G4 Stylus,ANDROID
Aquos Xx2 Mini,ANDROID
Blackview JK890,ANDROID
Desire,ANDROID
Xperia Z1 Compact,ANDROID
Galaxy Ace Style,ANDROID
SM-P355,ANDROID
Xperia Z Ultra LTE,ANDROID
Galaxy Alpha,ANDROID
X,ANDROID
Elite 2,ANDROID
Galaxy Tab 3 Lite 7.0 WiFi,ANDROID
10,ANDROID
Galaxy Grand Neo,ANDROID
P8,ANDROID
Galaxy Tab A 10.1,ANDROID
Mi 2,ANDROID
Galaxy Trend 3,ANDROID
Blade D2,ANDROID
Honor 4C Pro,ANDROID
3T,ANDROID
Galaxy J,ANDROID
P10 Lite,ANDROID
Mate 8,ANDROID
Galaxy Mini 2,ANDROID
Pioneer,ANDROID
Q5 Plus,ANDROID
Liquid Z220,ANDROID
Weiwu 3,ANDROID
Mi 5s Plus,ANDROID
Desire 820,ANDROID
Mirror 5,ANDROID
G Pro 2,ANDROID
iPhone,IOS
ME V1,ANDROID
Z5 Compact,ANDROID
Galaxy Tab 4 7.0,ANDROID
One Touch Pop D5,ANDROID
iCUBOT A880,ANDROID
A77,ANDROID
Lenny 2,ANDROID
Y6II,ANDROID
Ascend G610,ANDROID
Butterfly 2,ANDROID
Galaxy S Duos,ANDROID
0,ANDROID
V7,ANDROID
Ascend G6 4G,ANDROID
P8 Premium Version,ANDROID
A7 Pro,ANDROID
Galaxy Tab 4 8.0,ANDROID
Galaxy Note 3 Lite,ANDROID
Iconia Talk 7,ANDROID
Honor 6X,ANDROID
Optimus G Pro,ANDROID
Blackview JK606,ANDROID
Y6,ANDROID
Xperia T3,ANDROID
Xshot,ANDROID
Xperia X8,ANDROID
ZenPad 7.0,ANDROID
Canvas Spark 2 Pro,ANDROID
Galaxy J7 Plus,ANDROID
Galaxy S5 LTE-A,ANDROID
Xperia C3 Dual,ANDROID
Mi 5s,ANDROID
ZenPad S 8.0,ANDROID
R7 Plus F,ANDROID
Xperia ZL,ANDROID
ZenFone 4 Selfie,ANDROID
Desire 828 Dual Sim,ANDROID
Redmi Note 4,ANDROID
F1s,ANDROID
Jerry,ANDROID
Ascend Y511-U30,ANDROID
Aquos M1,ANDROID
Galaxy Ace NXT,ANDROID
R9s Plus,ANDROID
A328,ANDROID
Galaxy J2 Prime LTE,ANDROID
Raijin,ANDROID
Galaxy S2,ANDROID
Galaxy Tab 7.7,ANDROID
A399,ANDROID
Honor 3C,ANDROID
6,ANDROID
Galaxy Core,ANDROID
Voyager 2,ANDROID
Z10,ANDROID
A889,ANDROID
Galaxy Tab 4 10.1 LTE,ANDROID
Honor 7 Premium Edition,ANDROID
Moto C Plus,ANDROID
One X,ANDROID
Y55S,ANDROID
Xperia ZR,ANDROID
Galaxy Note Edge,ANDROID
Iconia B1-710,ANDROID
Plus 2,ANDROID
Find 7a,ANDROID
Pixel 2 XL,ANDROID
Y5 II,ANDROID
Lead 6,ANDROID
Ascend P6,ANDROID
Funbook,ANDROID
Liquid Z410,ANDROID
Xperia XA Ultra Dual,ANDROID
Hima Aero,ANDROID
F5,ANDROID
Xperia TX,ANDROID
